gene_id,transcript_id,hasCage,hasPolya,isNonCoding,isIntergenic,isMultiExon,numTrue,qval
"""MSTRG.1"";","""MSTRG.1.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,NA
"""MSTRG.2"";","""MSTRG.2.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.17358198243574496
"""MSTRG.2"";","""MSTRG.2.2"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.3498009601251613
"""MSTRG.3"";","""MSTRG.3.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.8115633780538382
"""MSTRG.3"";","""MSTRG.3.2"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.35401458451085693
"""MSTRG.4"";","""MSTRG.4.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.7257224596451584
"""MSTRG.4"";","""MSTRG.4.2"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.7013913978059747
"""MSTRG.4"";","""MSTRG.4.3"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.13298649495104345
"""MSTRG.5"";","""MSTRG.5.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.04537493298415282
"""MSTRG.6"";","""MSTRG.6.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,NA
"""MSTRG.7"";","""MSTRG.7.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.2679977697016666
"""MSTRG.8"";","""MSTRG.8.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.6133510681036252
"""MSTRG.8"";","""MSTRG.8.2"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.2021767546325752
"""MSTRG.9"";","""MSTRG.9.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.20341133820111637
"""MSTRG.9"";","""MSTRG.9.2"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.6820560236111004
"""MSTRG.9"";","""MSTRG.9.3"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,NA
"""MSTRG.9"";","""MSTRG.9.4"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,NA
"""MSTRG.9"";","""MSTRG.9.5"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.6228483412463327
"""MSTRG.9"";","""MSTRG.9.6"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.01042080264887313
"""MSTRG.9"";","""MSTRG.9.7"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.11218049840784618
"""MSTRG.9"";","""MSTRG.9.8"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.2678967773896087
"""MSTRG.9"";","""MSTRG.9.9"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.437879630524613
"""MSTRG.9"";","""MSTRG.9.10"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.7289068776699871
"""MSTRG.9"";","""MSTRG.9.11"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.5620649817479666
"""MSTRG.10"";","""MSTRG.10.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.3015664858839304
"""MSTRG.11"";","""MSTRG.11.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.2480353406641304
"""MSTRG.12"";","""MSTRG.12.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.23294749285220775
"""MSTRG.12"";","""MSTRG.12.2"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.5014103770817244
"""MSTRG.13"";","""MSTRG.13.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.0966120763194908
"""MSTRG.13"";","""MSTRG.13.2"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.32365293143445
"""MSTRG.13"";","""MSTRG.13.3"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.6298027863993414
"""MSTRG.13"";","""MSTRG.13.4"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,NA
"""MSTRG.14"";","""MSTRG.14.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.7026241383227865
"""MSTRG.15"";","""MSTRG.15.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.7962990772635771
"""MSTRG.16"";","""MSTRG.16.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.22472027832119057
"""MSTRG.17"";","""MSTRG.17.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,NA
"""MSTRG.18"";","""MSTRG.18.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.15485210730019935
"""MSTRG.19"";","""MSTRG.19.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.5035142605475846
"""MSTRG.20"";","""MSTRG.20.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.2717518463871743
"""MSTRG.21"";","""MSTRG.21.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.5248661386157697
"""MSTRG.22"";","""MSTRG.22.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.44003174733758627
"""MSTRG.22"";","""MSTRG.22.2"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,NA
"""MSTRG.22"";","""MSTRG.22.3"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.07993380885084506
"""MSTRG.22"";","""MSTRG.22.4"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.4112581244131348
"""MSTRG.23"";","""MSTRG.23.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.35880487198014716
"""MSTRG.24"";","""MSTRG.24.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.09916919354746329
"""MSTRG.25"";","""MSTRG.25.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.37608134534009335
"""MSTRG.26"";","""MSTRG.26.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.00749724045257228
"""MSTRG.27"";","""MSTRG.27.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,NA
"""MSTRG.28"";","""MSTRG.28.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.29004932082956425
"""MSTRG.29"";","""MSTRG.29.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.02418090316517104
"""MSTRG.30"";","""MSTRG.30.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.00882736641944707
"""MSTRG.31"";","""MSTRG.31.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,NA
"""MSTRG.32"";","""MSTRG.32.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.00537515046786978
"""MSTRG.33"";","""MSTRG.33.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.02295687788780786
"""MSTRG.34"";","""MSTRG.34.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.01612268139660335
"""MSTRG.35"";","""MSTRG.35.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.31993028048751654
"""MSTRG.36"";","""MSTRG.36.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.287895242081435
"""MSTRG.37"";","""MSTRG.37.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,NA
"""MSTRG.38"";","""MSTRG.38.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.24981998291103988
"""MSTRG.39"";","""MSTRG.39.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,NA
"""MSTRG.40"";","""MSTRG.40.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.16172883656853218
"""MSTRG.41"";","""MSTRG.41.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,NA
"""MSTRG.42"";","""MSTRG.42.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.28322044726974077
"""MSTRG.43"";","""MSTRG.43.1"";",FALSE,FALSE,FALSE,TRUE,FALSE,1,0.19440925661337924
"""MSTRG.44"";","""MSTRG.44.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.1390858901082864
"""MSTRG.45"";","""MSTRG.45.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,NA
"""MSTRG.46"";","""MSTRG.46.1"";",FALSE,FALSE,FALSE,TRUE,TRUE,2,0.00142948271388367
"""MSTRG.48"";","""MSTRG.48.2"";",FALSE,TRUE,TRUE,TRUE,TRUE,4,0.3803981239541955
"""MSTRG.48"";","""MSTRG.48.3"";",FALSE,FALSE,TRUE,TRUE,TRUE,3,0.5590811607604179
"""MSTRG.64"";","""MSTRG.64.1"";",FALSE,TRUE,FALSE,TRUE,TRUE,3,0.2499406283445748
"""MSTRG.68"";","""MSTRG.68.1"";",TRUE,TRUE,FALSE,TRUE,TRUE,4,0.7800330078964023
"""MSTRG.70"";","""MSTRG.70.1"";",TRUE,TRUE,TRUE,TRUE,FALSE,4,NA
"""MSTRG.72"";","""MSTRG.72.1"";",FALSE,TRUE,FALSE,TRUE,FALSE,2,0.5055606291525014
"""MSTRG.76"";","""MSTRG.76.1"";",TRUE,TRUE,TRUE,TRUE,FALSE,4,0.5521940194798548
